case_id,earliness_avg,true_avg_100,true_avg_1000,adaption_rate_avg,adapt_per_ep,costs_avg,cost_per_ep,rewards_avg,reward_per_ep,true_per_ep,position_adaptation_per_ep,case_length_per_ep
0.0,0.06896551724137931,1.0,1.0,1.0,1,43.0,43.0,0.0,0.0,True,2.0,29.0
1.0,0.04837164750957854,1.0,1.0,1.0,1,42.0,41.0,0.0,0.0,True,1.0,36.0
2.0,0.04812078087940156,0.6666666666666666,0.6666666666666666,1.0,1,54.333333333333336,79.0,-0.16666666666666666,-0.5,False,1.0,21.0
3.0,0.041409734595721386,0.5,0.5,1.0,1,60.5,79.0,-0.25,-0.5,False,1.0,47.0
4.0,0.03839094557131395,0.6,0.6,1.0,1,56.6,41.0,-0.2,0.0,True,1.0,38.0
5.0,0.04389721654752352,0.6666666666666666,0.6666666666666666,1.0,1,54.333333333333336,43.0,-0.16666666666666666,0.0,True,2.0,28.0
6.0,0.051019042755020165,0.5714285714285714,0.5714285714285714,1.0,1,57.714285714285715,78.0,-0.21428571428571427,-0.5,False,3.0,32.0
7.0,0.05654642431540455,0.5,0.5,1.0,1,60.25,78.0,-0.25,-0.5,False,2.0,21.0
8.0,0.05509440615475573,0.4444444444444444,0.4444444444444444,1.0,1,62.333333333333336,79.0,-0.2777777777777778,-0.5,False,1.0,23.0
9.0,0.05117226712658174,0.4,0.4,1.0,1,64.0,79.0,-0.3,-0.5,False,1.0,63.0
10.0,0.04778286910497329,0.36363636363636365,0.36363636363636365,1.0,1,65.36363636363636,79.0,-0.3181818181818182,-0.5,False,1.0,72.0
11.0,0.04975334429860647,0.3333333333333333,0.3333333333333333,1.0,1,66.41666666666667,78.0,-0.3333333333333333,-0.5,False,2.0,28.0
12.0,0.048578683861843636,0.38461538461538464,0.38461538461538464,1.0,1,64.46153846153847,41.0,-0.3076923076923077,0.0,True,1.0,29.0
13.0,0.04741292533714973,0.35714285714285715,0.35714285714285715,1.0,1,65.5,79.0,-0.32142857142857145,-0.5,False,1.0,31.0
14.0,0.04651195065365613,0.3333333333333333,0.3333333333333333,1.0,1,66.4,79.0,-0.3333333333333333,-0.5,False,2.0,59.0
15.0,0.04610495373780263,0.375,0.375,1.0,1,64.875,42.0,-0.3125,0.0,True,1.0,25.0
16.0,0.04775019611052448,0.4117647058823529,0.4117647058823529,1.0,1,63.588235294117645,43.0,-0.29411764705882354,0.0,True,2.0,27.0
17.0,0.05150766384797398,0.4444444444444444,0.4444444444444444,1.0,1,62.55555555555556,45.0,-0.2777777777777778,0.0,True,6.0,52.0
18.0,0.05008043121926161,0.47368421052631576,0.47368421052631576,1.0,1,61.421052631578945,41.0,-0.2631578947368421,0.0,True,1.0,41.0
19.0,0.052933552515441386,0.5,0.5,1.0,1,60.6,45.0,-0.25,0.0,True,3.0,28.0
20.0,0.05287596134475534,0.47619047619047616,0.47619047619047616,1.0,1,61.42857142857143,78.0,-0.2619047619047619,-0.5,False,3.0,58.0
21.0,0.051701009784858594,0.5,0.5,1.0,1,60.5,41.0,-0.25,0.0,True,1.0,37.0
22.0,0.051063445752344616,0.4782608695652174,0.4782608695652174,1.0,1,61.30434782608695,79.0,-0.2608695652173913,-0.5,False,1.0,27.0
23.0,0.04984159928077953,0.5,0.5,1.0,1,60.458333333333336,41.0,-0.25,0.0,True,1.0,46.0
24.0,0.0493573692718125,0.52,0.52,1.0,1,59.68,41.0,-0.24,0.0,True,2.0,53.0
25.0,0.04878526886215394,0.5,0.5,1.0,1,60.42307692307692,79.0,-0.25,-0.5,False,1.0,29.0
26.0,0.04982740990144738,0.5185185185185185,0.5185185185185185,1.0,1,59.77777777777778,43.0,-0.24074074074074073,0.0,True,3.0,39.0
27.0,0.05035200701326204,0.5,0.5,1.0,1,60.42857142857143,78.0,-0.25,-0.5,False,2.0,31.0
28.0,0.05117000932570384,0.5172413793103449,0.5172413793103449,1.0,1,59.827586206896555,43.0,-0.2413793103448276,0.0,True,2.0,27.0
29.0,0.05109035860834298,0.5,0.5,1.0,1,60.46666666666667,79.0,-0.25,-0.5,False,2.0,41.0
30.0,0.05094265761797633,0.5161290322580645,0.5161290322580645,1.0,1,59.87096774193548,42.0,-0.24193548387096775,0.0,True,2.0,43.0
31.0,0.05130382456741457,0.5,0.5,1.0,1,60.4375,78.0,-0.25,-0.5,False,2.0,32.0
32.0,0.05138716485488849,0.48484848484848486,0.48484848484848486,1.0,1,60.96969696969697,78.0,-0.25757575757575757,-0.5,False,2.0,37.0
33.0,0.05110126784935256,0.47058823529411764,0.47058823529411764,1.0,1,61.5,79.0,-0.2647058823529412,-0.5,False,3.0,72.0
34.0,0.05148454959743557,0.4857142857142857,0.4857142857142857,1.0,1,60.97142857142857,43.0,-0.2571428571428571,0.0,True,2.0,31.0
35.0,0.05179053433084014,0.4722222222222222,0.4722222222222222,1.0,1,61.44444444444444,78.0,-0.2638888888888889,-0.5,False,1.0,16.0
36.0,0.052368377503177355,0.4594594594594595,0.4594594594594595,1.0,1,61.891891891891895,78.0,-0.2702702702702703,-0.5,False,3.0,41.0
37.0,0.051616828721765415,0.47368421052631576,0.47368421052631576,1.0,1,61.3421052631579,41.0,-0.2631578947368421,0.0,True,1.0,42.0
38.0,0.05104746810597354,0.48717948717948717,0.48717948717948717,1.0,1,60.82051282051282,41.0,-0.2564102564102564,0.0,True,1.0,34.0
39.0,0.05133378140332421,0.475,0.475,1.0,1,61.25,78.0,-0.2625,-0.5,False,1.0,16.0
40.0,0.05070712882375595,0.4878048780487805,0.4878048780487805,1.0,1,60.75609756097561,41.0,-0.25609756097560976,0.0,True,1.0,39.0
41.0,0.04987774518207166,0.47619047619047616,0.47619047619047616,1.0,1,61.19047619047619,79.0,-0.2619047619047619,-0.5,False,1.0,63.0
42.0,0.049728919965501744,0.46511627906976744,0.46511627906976744,1.0,1,61.604651162790695,79.0,-0.26744186046511625,-0.5,False,1.0,23.0
43.0,0.04911524616463291,0.4772727272727273,0.4772727272727273,1.0,1,61.13636363636363,41.0,-0.26136363636363635,0.0,True,1.0,44.0
44.0,0.04961109783716488,0.4888888888888889,0.4888888888888889,1.0,1,60.733333333333334,43.0,-0.25555555555555554,0.0,True,3.0,42.0
45.0,0.0496767604699954,0.4782608695652174,0.4782608695652174,1.0,1,61.108695652173914,78.0,-0.2608695652173913,-0.5,False,2.0,38.0
46.0,0.049454184423282935,0.48936170212765956,0.48936170212765956,1.0,1,60.702127659574465,42.0,-0.2553191489361702,0.0,True,2.0,51.0
47.0,0.04900259261816824,0.4791666666666667,0.4791666666666667,1.0,1,61.083333333333336,79.0,-0.2604166666666667,-0.5,False,2.0,72.0
48.0,0.049572398420309235,0.46938775510204084,0.46938775510204084,1.0,1,61.42857142857143,78.0,-0.2653061224489796,-0.5,False,2.0,26.0
49.0,0.05108095045190306,0.48,0.48,1.0,1,61.12,46.0,-0.26,0.0,True,4.0,32.0
50.0,0.051111354932206296,0.47058823529411764,0.47058823529411764,1.0,1,61.450980392156865,78.0,-0.2647058823529412,-0.5,False,1.0,19.0
51.0,0.051731008362997204,0.4807692307692308,0.4807692307692308,1.0,1,61.11538461538461,44.0,-0.25961538461538464,0.0,True,2.0,24.0
52.0,0.05429268745048783,0.4716981132075472,0.4716981132075472,1.0,1,61.39622641509434,76.0,-0.2641509433962264,-0.5,False,3.0,16.0
53.0,0.055702726249713896,0.46296296296296297,0.46296296296296297,1.0,1,61.68518518518518,77.0,-0.26851851851851855,-0.5,False,3.0,23.0
54.0,0.05541722213608274,0.45454545454545453,0.45454545454545453,1.0,1,62.0,79.0,-0.2727272727272727,-0.5,False,1.0,25.0
55.0,0.05782898942787037,0.44642857142857145,0.44642857142857145,1.0,1,62.25,76.0,-0.2767857142857143,-0.5,False,4.0,21.0
56.0,0.05746421833329435,0.45614035087719296,0.45614035087719296,1.0,1,61.87719298245614,41.0,-0.2719298245614035,0.0,True,1.0,27.0
57.0,0.05838916476049809,0.4482758620689655,0.4482758620689655,1.0,1,62.13793103448276,77.0,-0.27586206896551724,-0.5,False,2.0,18.0
58.0,0.058396526873231415,0.4576271186440678,0.4576271186440678,1.0,1,61.813559322033896,43.0,-0.2711864406779661,0.0,True,3.0,51.0
59.0,0.05870530270739551,0.45,0.45,1.0,1,62.083333333333336,78.0,-0.275,-0.5,False,3.0,39.0
60.0,0.05807748074932847,0.4426229508196721,0.4426229508196721,1.0,1,62.36065573770492,79.0,-0.2786885245901639,-0.5,False,1.0,49.0
61.0,0.05737793883970932,0.45161290322580644,0.45161290322580644,1.0,1,62.0,40.0,-0.27419354838709675,0.0,True,1.0,68.0
62.0,0.058003276216037535,0.4603174603174603,0.4603174603174603,1.0,1,61.73015873015873,45.0,-0.2698412698412698,0.0,True,3.0,31.0
63.0,0.05829889810208503,0.453125,0.453125,1.0,1,61.984375,78.0,-0.2734375,-0.5,False,2.0,26.0
64.0,0.05873978461957804,0.4461538461538462,0.4461538461538462,1.0,1,62.23076923076923,78.0,-0.27692307692307694,-0.5,False,2.0,23.0
65.0,0.05858888618299167,0.45454545454545453,0.45454545454545453,1.0,1,61.92424242424242,42.0,-0.2727272727272727,0.0,True,2.0,41.0
66.0,0.05958009683697687,0.44776119402985076,0.44776119402985076,1.0,1,62.149253731343286,77.0,-0.27611940298507465,-0.5,False,2.0,16.0
67.0,0.0615874252860294,0.45588235294117646,0.45588235294117646,1.0,1,61.970588235294116,50.0,-0.27205882352941174,0.0,True,10.0,51.0
68.0,0.06236709470774804,0.4492753623188406,0.4492753623188406,1.0,1,62.18840579710145,77.0,-0.2753623188405797,-0.5,False,3.0,26.0
69.0,0.06236899335478021,0.44285714285714284,0.44285714285714284,1.0,1,62.41428571428571,78.0,-0.2785714285714286,-0.5,False,1.0,16.0
70.0,0.061881793135385804,0.4507042253521127,0.4507042253521127,1.0,1,62.11267605633803,41.0,-0.2746478873239437,0.0,True,2.0,72.0
71.0,0.06140812625541903,0.4583333333333333,0.4583333333333333,1.0,1,61.81944444444444,41.0,-0.2708333333333333,0.0,True,1.0,36.0
72.0,0.061008810341182176,0.4520547945205479,0.4520547945205479,1.0,1,62.054794520547944,79.0,-0.273972602739726,-0.5,False,1.0,31.0
73.0,0.06049149226531853,0.44594594594594594,0.44594594594594594,1.0,1,62.28378378378378,79.0,-0.27702702702702703,-0.5,False,1.0,44.0
74.0,0.06004529939547465,0.4533333333333333,0.4533333333333333,1.0,1,62.0,41.0,-0.2733333333333333,0.0,True,1.0,37.0
75.0,0.05945459170805414,0.4473684210526316,0.4473684210526316,1.0,1,62.223684210526315,79.0,-0.27631578947368424,-0.5,False,1.0,66.0
76.0,0.059981155452105375,0.44155844155844154,0.44155844155844154,1.0,1,62.41558441558441,77.0,-0.2792207792207792,-0.5,False,2.0,20.0
77.0,0.059724986792463,0.4358974358974359,0.4358974358974359,1.0,1,62.62820512820513,79.0,-0.28205128205128205,-0.5,False,1.0,25.0
78.0,0.06134239202293815,0.43037974683544306,0.43037974683544306,1.0,1,62.79746835443038,76.0,-0.2848101265822785,-0.5,False,3.0,16.0
79.0,0.06118045083232885,0.425,0.425,1.0,1,63.0,79.0,-0.2875,-0.5,False,3.0,62.0
80.0,0.0626698055358579,0.41975308641975306,0.41975308641975306,1.0,1,63.160493827160494,76.0,-0.29012345679012347,-0.5,False,4.0,22.0
81.0,0.06225902141037642,0.4268292682926829,0.4268292682926829,1.0,1,62.890243902439025,41.0,-0.2865853658536585,0.0,True,2.0,69.0
